AGE,AGE2,BLACK,EXP,EXP2,LWAGE,NEARC,SCHOOLING,SMSA,SOUTH,FATHEDUC,MOTHEDUC
29,841,1,16,256,6.306275,0,7,1,0,,
27,729,0,9,81,6.175867,0,12,1,0,8.0,8.0
34,1156,0,16,256,6.580639,0,12,1,0,14.0,12.0
27,729,0,10,100,5.521461,1,11,1,0,11.0,12.0
34,1156,0,16,256,6.591674,1,12,1,0,8.0,7.0
26,676,0,8,64,6.214608,1,12,1,0,9.0,12.0
33,1089,0,9,81,6.336826,1,18,1,0,14.0,14.0
29,841,0,9,81,6.410175,1,14,1,0,14.0,14.0
28,784,0,10,100,6.052089,1,12,1,0,12.0,12.0
29,841,0,11,121,6.244167,1,12,1,0,12.0,12.0
28,784,0,13,169,5.416101,1,9,1,0,11.0,12.0
26,676,0,8,64,5.991465,1,12,1,0,11.0,6.0
24,576,0,7,49,6.033086,1,11,1,0,11.0,6.0
30,900,0,13,169,5.379897,1,11,1,0,11.0,6.0
31,961,1,9,81,6.795706,1,16,1,0,,8.0
24,576,0,4,16,5.703783,1,14,1,0,15.0,12.0
34,1156,0,16,256,5.846439,1,12,1,0,12.0,8.0
29,841,0,9,81,6.489205,1,14,1,0,,12.0
26,676,0,10,100,6.35437,1,10,1,0,8.0,8.0
32,1024,0,14,196,6.475433,1,12,1,0,8.0,8.0
32,1024,0,8,64,6.850126,1,18,1,1,12.0,13.0
34,1156,0,10,100,6.419995,1,18,1,0,,8.0
32,1024,0,11,121,6.58755,1,15,0,0,5.0,14.0
28,784,0,10,100,6.403574,1,12,1,0,14.0,12.0
32,1024,0,14,196,6.54103,1,12,1,0,11.0,12.0
34,1156,0,10,100,7.244227,1,18,0,0,14.0,13.0
26,676,0,8,64,5.703783,1,12,1,0,7.0,12.0
32,1024,0,8,64,7.495542,1,18,1,0,16.0,16.0
25,625,0,7,49,6.023448,1,12,1,0,11.0,12.0
29,841,0,9,81,6.448889,1,14,0,0,,16.0
25,625,0,7,49,5.337538,1,12,1,0,12.0,12.0
25,625,1,7,49,6.124683,1,12,1,0,,11.0
24,576,0,2,4,6.71417,1,16,1,0,10.0,10.0
34,1156,0,10,100,6.357842,1,18,1,0,,12.0
28,784,0,11,121,5.541264,1,11,1,0,6.0,10.0
30,900,0,8,64,6.869014,1,16,1,0,12.0,12.0
31,961,0,15,225,6.850126,1,10,1,0,8.0,6.0
34,1156,0,10,100,7.044033,1,18,1,0,8.0,11.0
27,729,0,15,225,5.780744,1,6,1,0,2.0,6.0
24,576,1,7,49,5.459586,1,11,1,0,6.0,12.0
34,1156,0,16,256,6.907755,1,12,1,0,11.0,10.0
26,676,0,11,121,6.175867,1,9,1,0,,12.0
32,1024,0,11,121,6.436151,1,15,1,0,10.0,12.0
34,1156,0,17,289,6.476973,1,11,1,0,8.0,10.0
24,576,1,6,36,5.840641,1,12,1,0,,10.0
24,576,0,2,4,5.940171,1,16,1,1,12.0,10.0
24,576,0,6,36,5.866468,1,12,1,0,12.0,11.0
25,625,0,6,36,6.490724,1,13,1,0,,12.0
28,784,0,5,25,6.431331,1,17,1,0,10.0,10.0
25,625,0,7,49,6.086775,1,12,1,0,10.0,11.0
26,676,1,8,64,6.603944,1,12,1,0,12.0,10.0
31,961,1,14,196,5.634789,1,11,0,1,5.0,5.0
24,576,0,8,64,6.073044,1,10,1,0,5.0,
27,729,0,9,81,6.558198,1,12,1,0,,8.0
27,729,0,9,81,6.052089,1,12,1,0,10.0,12.0
24,576,0,6,36,6.347389,1,12,1,0,,4.0
30,900,0,8,64,6.287858,1,16,1,0,12.0,12.0
32,1024,0,10,100,6.60665,1,16,1,0,12.0,12.0
32,1024,0,13,169,6.511745,1,13,1,0,10.0,12.0
34,1156,0,16,256,6.645091,1,12,1,0,10.0,10.0
24,576,0,6,36,6.383507,1,12,1,0,10.0,10.0
24,576,1,9,81,5.361292,1,9,1,0,12.0,11.0
34,1156,0,12,144,7.354362,1,16,1,0,12.0,12.0
28,784,0,6,36,6.651572,1,16,1,0,11.0,11.0
26,676,0,8,64,6.39693,1,12,1,1,8.0,9.0
24,576,0,0,0,6.54103,1,18,1,0,16.0,16.0
31,961,0,12,144,6.345636,1,13,1,0,8.0,12.0
28,784,0,8,64,6.070738,1,14,1,0,12.0,12.0
28,784,0,7,49,6.287858,1,15,1,0,12.0,12.0
25,625,0,7,49,6.440947,1,12,1,0,12.0,9.0
31,961,0,17,289,6.175867,1,8,1,0,12.0,11.0
26,676,0,8,64,6.300786,1,12,1,0,6.0,11.0
25,625,0,7,49,6.356108,1,12,1,0,12.0,9.0
25,625,0,3,9,6.55108,1,16,1,0,14.0,12.0
28,784,0,6,36,6.669498,1,16,1,0,12.0,12.0
27,729,0,4,16,6.919684,1,17,1,0,12.0,12.0
24,576,0,6,36,6.630683,1,12,1,0,12.0,10.0
29,841,0,9,81,6.398595,1,14,1,0,12.0,16.0
24,576,0,6,36,5.645447,1,12,1,0,,12.0
24,576,0,6,36,5.521461,1,12,1,0,12.0,12.0
26,676,0,8,64,6.214608,1,12,1,0,10.0,12.0
31,961,0,14,196,6.309918,1,11,1,0,8.0,6.0
25,625,0,7,49,7.041412,1,12,1,0,8.0,6.0
31,961,0,7,49,6.697034,1,18,1,1,8.0,8.0
28,784,1,10,100,5.746203,1,12,1,0,,9.0
25,625,0,1,1,6.594413,1,18,1,0,,4.0
25,625,0,3,9,6.437752,1,16,1,0,9.0,10.0
24,576,0,4,16,6.376727,1,14,1,0,16.0,12.0
26,676,0,6,36,5.926926,1,14,1,0,12.0,12.0
29,841,0,7,49,6.705639,1,16,1,1,14.0,11.0
30,900,0,10,100,6.76273,1,14,1,0,15.0,12.0
28,784,0,7,49,5.857933,1,15,1,1,12.0,12.0
24,576,0,5,25,5.308268,1,13,1,1,12.0,12.0
32,1024,0,13,169,6.224558,1,13,1,1,16.0,16.0
30,900,0,7,49,6.704414,1,17,1,0,12.0,13.0
26,676,0,2,4,6.437752,1,18,1,0,14.0,12.0
